x,symbol1,symbol2,symbol3,symbol4,symbol5,line1,line2,line3,line4,line5
0,83.7778,4.03515,20.762,259.9,90,79.58891,3.8333925,19.7239,246.905,85.5
0.1,8.61556,4.03515,2.13513,252.458,91.4629,8.184782,3.8333925,2.0283735,239.8351,86.889755
0.2,7.534,4.03515,1.86709,245.659,90.9252,7.1573,3.8333925,1.7737355,233.37605,86.37894
0.3,6.98382,4.03515,1.73074,239.207,90.5861,6.634629,3.8333925,1.644203,227.24665,86.056795
0.4,6.63509,4.03515,1.64432,233.082,90.3723,6.3033355,3.8333925,1.562104,221.4279,85.853685
0.5,6.37211,4.03515,1.57915,227.267,90.2383,6.0535045,3.8333925,1.5001925,215.90365,85.726385
0.6,6.14878,4.03515,1.5238,221.743,90.1539,5.841341,3.8333925,1.44761,210.65585,85.646205
0.7,5.94824,4.03515,1.4741,216.5,90.1011,5.650828,3.8333925,1.400395,205.675,85.596045
0.8,5.76331,4.03515,1.42827,211.515,90.0674,5.4751445,3.8333925,1.3568565,200.93925,85.56403
0.9,5.59167,4.03515,1.38574,206.78,90.0462,5.3120865,3.8333925,1.316453,196.441,85.54389
1,5.43179,4.03515,1.34612,202.278,90.0325,5.1602005,3.8333925,1.278814,192.1641,85.530875
1.1,5.28275,4.03515,1.30918,197.998,90.0237,5.0186125,3.8333925,1.243721,188.0981,85.522515
1.2,5.14351,4.03515,1.27468,193.926,90.0179,4.8863345,3.8333925,1.210946,184.2297,85.517005
1.3,5.0132,4.03515,1.24238,190.053,90.0141,4.76254,3.8333925,1.180261,180.55035,85.513395
1.4,4.89077,4.03515,1.21204,186.365,90.0119,4.6462315,3.8333925,1.151438,177.04675,85.511305
1.5,4.77515,4.03515,1.18339,182.854,90.0098,4.5363925,3.8333925,1.1242205,173.7113,85.50931
1.6,4.66668,4.03515,1.15651,179.541,90.0088,4.433346,3.8333925,1.0986845,170.56395,85.50836
1.7,4.56493,4.03515,1.13129,176.395,90.0079,4.3366835,3.8333925,1.0747255,167.57525,85.507505
1.8,4.4679,4.03515,1.10725,173.403,90.007,4.244505,3.8333925,1.0518875,164.73285,85.50665
1.9,4.37511,4.03515,1.08425,170.556,90.0066,4.1563545,3.8333925,1.0300375,162.0282,85.50627
2,4.2863,4.03515,1.06224,167.847,90.0063,4.071985,3.8333925,1.009128,159.45465,85.505985
2.1,4.20118,4.03515,1.04114,165.269,90.0059,3.991121,3.8333925,0.989083,157.00555,85.505605
