District,"Carbon
Monoxide
Concentration
(ppm)2016","Carbon
Monoxide
Concentration
(ppm)2011","Carbon
Monoxide
Concentration
(ppm)2006"
Dobong-gu,0.4,0.6,0.5
Dongdaemun-gu,0.6,0.6,0.6
Dongjak-gu,0.5,0.5,0.7
Eunpyeong-gu,0.4,0.6,0.6
Gangbuk-gu,0.5,0.5,0.7
Gangdong-gu,0.5,0.6,0.7
Gangnam-gu,0.4,0.5,0.5
Gangseo-gu,0.4,0.5,0.6
Geumcheon-gu,0.5,0.5,0.7
Guro-gu,0.5,0.6,0.6
Gwanak-gu,0.5,0.6,0.6
Gwangjin-gu,0.6,0.7,0.5
Jongno-gu,0.4,0.5,0.6
Jung-gu,0.5,0.6,0.7
Jungnang-gu,0.5,0.5,0.6
Mapo-gu,0.6,0.6,0.8
Nowon-gu,0.5,0.5,0.6
Seocho-gu,0.5,0.6,0.7
Seodaemun-gu,0.5,0.5,0.6
Seongbuk-gu,0.6,0.6,0.6
Seongdong-gu,0.5,0.4,0.5
Songpa-gu,0.5,0.6,0.5
Yangcheon-gu,0.5,0.4,0.7
Yeongdeungpo-gu,0.6,0.7,0.6
Yongsan-gu,0.5,0.5,0.5
